time,v(vin),v(vout)
0,0,-8.629844532027201e-28
0.0000000125,0.0003926990812949965,0.00000000000015298970375148437
0.0000000375,0.0011780972341955281,0.0000000000004660266707137494
0.0000000875,0.002748893433412517,0.000000000001121352801794695
0.0000001875,0.005890484862900438,0.0000000000025576728193791704
0.0000003875,0.012173659505216245,0.0000000000060107662436583965
0.0000007875,0.024739941196277763,0.000000000016026567091362894
0.0000015875,0.049871956391179424,0.0000000000587728823100144
0.0000031875,0.10013157160934523,0.000000000470113325585045
0.0000061875,0.19433708208518552,0.000000018320769287415168
0.0000091875,0.28847354552111987,0.0000006979766520734709
0.0000121875,0.38250751567993135,0.00002644669678979784
0.0000151875,0.4764055827397765,0.0009623463946190449
0.0000181875,0.5701343851645356,0.01838872835736156
0.0000211875,0.6636606215570079,0.07541400061954488
0.0000241875,0.7569510624907394,0.1507842556903797
0.000027187499999999997,0.8499725623162797,0.23259479255366447
0.000030187499999999995,0.9426920709376738,0.3172836857194319
0.000033187499999999994,1.035076645555003,0.4034539841977663
0.00003618749999999999,1.1270934623688063,0.4904175439991508
0.00003918749999999999,1.2187098282422184,0.5777955142144823
0.00004218749999999999,1.3098931923166868,0.6653313938537765
0.00004518749999999999,1.4006111575771363,0.7528534512969887
0.000048187499999999985,1.490831492362474,0.8402339309367817
0.000051187499999999984,1.5805221418173447,0.9273725938926723
0.00005418749999999998,1.6696512392810712,1.0141872712447788
0.00005718749999999998,1.7581871176097221,1.1006081602669044
0.00006018749999999998,1.846098320427302,1.186574224792915
0.00006318749999999998,1.9333536133020492,1.2720308373959621
0.00006618749999999999,2.0199219948438816,1.3569281855224917
0.0000691875,2.105772707719043,1.441220164671316
0.0000721875,2.190875249578037,1.5248635918201818
0.0000751875,2.275199383892967,1.6078176351806324
0.00007818750000000001,2.3587151507004305,1.6900433935905081
0.00008118750000000002,2.44139287724615,1.7715035816096831
0.00008418750000000002,2.5232031885275648,1.8521622906938309
0.00008718750000000003,2.6041170177306254,1.931984806048767
0.00009018750000000003,2.684105616557097,2.010937464855198
0.00009318750000000004,2.7631405654386914,2.0889875456522233
0.00009618750000000004,2.8411937836344054,2.166103181479155
0.00009918750000000005,2.9182375392074733,2.2422532913362225
0.00010218750000000005,2.994244458878393,2.3174075259140525
0.00010518750000000006,3.069187537750522,2.3915362245400122
0.00010818750000000006,3.1430401489047877,2.4646103810163096
0.00011118750000000007,3.215776052860103,2.536601616560188
0.00011418750000000007,3.287369406896135,2.607482158455585
0.00011718750000000008,3.357794774235093,2.677224823326033
0.00012018750000000008,3.427027133079302,2.745803004167006
0.0001231875000000001,3.4950418855013226,2.813190660451105
0.00012618750000000008,3.5618148661834788,2.8793623107550883
0.00012918750000000007,3.6273223510036816,2.9442930274634627
0.00013218750000000006,3.691541065464496,3.007958433186446
0.00013518750000000005,3.7544481929624594,3.0703346985958833
0.00013818750000000005,3.8160213828947116,3.131398541435035
0.00014118750000000004,3.8762387586000573,3.1911272265002157
0.00014418750000000003,3.935078925131641,3.2494985664260803
0.00014718750000000002,3.9925209768584677,3.306490923133858
0.0001501875,4.048544504893076,3.3620832098242537
0.0001531875,4.10312960434272,3.416254893415081
0.0001561875,4.156256881381475,3.468985997338861
0.0001591875,4.207907460140785,3.520257104628138
0.00016218749999999998,4.258062989415953,3.5700493612266913
0.00016518749999999997,4.306705649186252,3.618344479473536
0.00016818749999999996,4.353818156946282,3.6651247417138975
0.00017118749999999995,4.399383773846368,3.7103730039975327
0.00017418749999999994,4.4433863106397915,3.754072699829937
0.00017718749999999994,4.485810133434753,3.796207843946427
0.00018018749999999993,4.52664016924902,3.8367630360828593
0.00018318749999999992,4.565861911365283,3.8757234647199597
0.0001861874999999999,4.603461424485329,3.9130749107810217
0.0001891874999999999,4.63942534968118,3.9488037512651104
0.0001921874999999999,4.67374090914146,3.9828969628000053
0.00019518749999999989,4.706395910711293,4.015342125100894
0.00019818749999999988,4.7373787522241075,4.046127424322377
0.00020118749999999987,4.766678425623846,4.075241656292794
0.00020418749999999986,4.7942845208760625,4.102674229620984
0.00020718749999999985,4.820187229666563,4.128415168666762
0.00021018749999999984,4.844377348886254,4.152455116367272
0.00021318749999999984,4.866846283900959,4.174785336912239
0.00021618749999999983,4.887586051605058,4.195397718261919
0.00021918749999999982,4.906589283257839,4.214284774502181
0.0002221874999999998,4.923849227101583,4.23143964803182
0.0002251874999999998,4.939359750760426,4.246856111577695
0.0002281874999999998,4.953115343419169,4.260528570033866
0.00023118749999999979,4.9651111177812375,4.272452062121306
0.00023418749999999978,4.975342811805122,4.282622261865235
0.00023718749999999977,4.983806790218654,4.291035479887517
0.00024018749999999976,4.990500045810605,4.29768866451195
0.00024318749999999975,4.995420200499135,4.302579402680589
0.00024618749999999977,4.9985655061767105,4.30570592067966
0.0002491874999999998,4.999934845331201,4.307067084673874
0.0002521874999999998,4.9995277314429245,4.306662401048317
0.0002551874999999998,4.9973443091575085,4.304492016557371
0.00025818749999999985,4.993385354234493,4.3005567182804265
0.00026118749999999986,4.987652273271712,4.2948579333844785
0.0002641874999999999,4.980147103205532,4.28739772869396
0.0002671874999999999,4.970872510587141,4.278178810068483
0.0002701874999999999,4.9598317906351355,4.267204521589492
0.00027318749999999994,4.947028866064741,4.254478844557124
0.00027618749999999996,4.932468285694096,4.240006396298919
0.0002791875,4.916155222828073,4.223792428792366
0.0002821875,4.898095473420233,4.205842827103629
0.0002851875,4.878295454013546,4.186164107645219
0.00028818750000000003,4.856762199460628,4.164763416255731
0.00029118750000000005,4.833503360424288,4.141648526105289
0.00029418750000000007,4.808527200659285,4.116827835430761
0.0002971875000000001,4.781842594076259,4.090310365105384
0.0003001875000000001,4.753459021588864,4.062105756047988
0.0003031875000000001,4.723386567745256,4.032224266477673
0.00030618750000000014,4.69163591714509,4.000676769020494
0.00030918750000000016,4.658218350643341,3.9674747476754795
0.0003121875000000002,4.623145741342264,3.9326302946482743
0.0003151875000000002,4.586430550372943,3.8961561070615742
0.0003181875000000002,4.548085822467904,3.8580654835527795
0.00032118750000000024,4.50812518132639,3.81837232077047
0.00032418750000000026,4.466562824773921,3.777091109782844
0.0003271875000000003,4.423413519717875,3.734236932412873
0.0003301875000000003,4.37869259690088,3.6898254575168794
0.0003331875000000003,4.3324159454538655,3.643872937225443
0.00033618750000000033,4.284600007250743,3.596396203168113
0.00033918750000000035,4.235261771066672,3.5474126627063196
0.00034218750000000037,4.1844187665420405,3.49694029520245
0.0003451875000000004,4.132089057954261,3.4449976483569893
0.0003481875000000004,4.078291237799619,3.3916038346504767
0.0003511875000000004,4.023044420187452,3.33677852793261
0.00035418750000000044,3.9663682340489927,3.280541960207494
0.00035718750000000046,3.9082828161633065,3.2229149186719472
0.0003601875000000005,3.8488088040027875,3.1639187430732245
0.0003631875000000005,3.787967328400763,3.1035753234638657
0.0003661875000000005,3.725780006043812,3.0419070984450274
0.00036918750000000054,3.6622689317914547,2.978937054006187
0.00037218750000000056,3.5974566708259568,2.914688723089236
0.0003751875000000006,3.531366250635031,2.849186186029569
0.0003781875000000006,3.4640211528302705,2.7824540720569524
0.0003811875000000006,3.3954453048042548,2.714517562076412
0.00038418750000000063,3.325663071229256,2.6454023929956954
0.00038718750000000065,3.2546992454005856,2.5751348639240557
0.00039018750000000067,3.18257904042766,2.503741844640196
0.0003931875000000007,3.1093280802758954,2.431250786819914
0.0003961875000000007,3.034972390662642,2.3576897386324442
0.0003991875000000007,2.9595383898103647,2.2830873634667475
0.00040218750000000074,2.8830528790603793,2.207472963746771
0.00040518750000000076,2.805543033350462,2.130876511053302
0.0004081875000000008,2.7270363915597184,2.0533286841118947
0.0004111875000000008,2.6475608467241587,1.9748609166624014
0.0004141875000000008,2.567144636126431,1.8955054578408188
0.00041718750000000084,2.4858163312632504,1.8152954485436463
0.00042018750000000086,2.4036048276940796,1.734265018404919
0.0004231875000000009,2.320539334774677,1.6524494096408047
0.0004261875000000009,2.236649365279151,1.569885136326183
0.0004291875000000009,2.151964724914211,1.486610191003945
0.00043218750000000093,2.066515501729343,1.4026643154332576
0.00043518750000000095,1.9803320554266681,1.3180893596373877
0.00043818750000000097,1.893445006574287,1.2329297646773179
0.000441187500000001,1.8058852257269298,1.1472332222525354
0.000444187500000001,1.7176838224578075,1.0610515927153206
0.000447187500000001,1.6288721343055201,0.9744422103983162
0.00045018750000000104,1.539481715639981,0.8874697864867379
0.00045318750000000106,1.4495443264512986,0.800209265080876
0.0004561875000000011,1.3590919210656047,0.712750260187902
0.0004591875000000011,1.2681566367918327,0.6252042383738821
0.0004621875000000011,1.1767707825034859,0.5377167407676745
0.00046518750000000114,1.0849668271594486,0.4504894996331939
0.00046818750000000115,0.9927773882679214,0.3638285595853288
0.0004711875000000012,0.9002352202975671,0.2782245660489248
0.0004741875000000012,0.8073732030400173,0.1946075247526194
0.0004771875000000012,0.7142243299278301,0.11505254458050396
0.00048018750000000123,0.6208216963120832,0.04559168303957061
0.00048318750000000125,0.5271984877037522,0.005708460289583544
0.00048618750000000127,0.43338796798305795,0.00018793651805626774
0.0004891875000000012,0.3394234675809694,0.0000050037047037966996
0.0004921875000000012,0.24533837163705438,0.00000013168189233525398
0.0004951875000000012,0.15116610813790424,0.000000003443681004205762
0.0004981875000000011,0.05694013604032798,0.00000000008038606283091445
0.0005011875000000011,-0.037306066616458446,-0.000000000007636361992410137
0.000504187500000001,-0.13153901460541106,-0.000000000009999999992415685
0.000507187500000001,-0.2257252274088129,-0.000000000010000000004079575
0.000510187500000001,-0.31983124111373373,-0.000000000010000000004067597
0.000513187500000001,-0.413823620301601,-0.00000000001000000000405062
0.0005161875000000009,-0.5076689699276452,-0.000000000010000000004028634
0.0005191875000000009,-0.6013339471859998,-0.000000000010000000004001649
0.0005221875000000008,-0.6947852733562419,-0.000000000010000000003969741
0.0005251875000000008,-0.7879897456271645,-0.000000000010000000003932834
0.0005281875000000008,-0.88091424889357,-0.000000000010000000003890981
0.0005311875000000007,-0.9735257675219207,-0.000000000010000000003844179
0.0005341875000000007,-1.0657913970806288,-0.00000000001000000000379243
0.0005371875000000007,-1.1576783560308455,-0.000000000010000000003735885
0.0005401875000000006,-1.2491539973735868,-0.00000000001000000000367434
0.0005431875000000006,-1.3401858202490553,-0.000000000010000000003608
0.0005461875000000006,-1.4307414814840445,-0.000000000010000000003536814
0.0005491875000000005,-1.5207888070833044,-0.000000000010000000003460881
0.0005521875000000005,-1.6102958036608235,-0.000000000010000000003380102
0.0005551875000000005,-1.699230669806915,-0.000000000010000000003294576
0.0005581875000000004,-1.787561807387112,-0.000000000010000000003204305
0.0005611875000000004,-1.8752578327688305,-0.000000000010000000003109389
0.0005641875000000003,-1.9622875879718276,-0.000000000010000000003009728
0.0005671875000000003,-2.0486201517384828,-0.000000000010000000002905523
0.0005701875000000003,-2.1342248505199732,-0.000000000010000000002796875
0.0005731875000000002,-2.219071269374436,-0.000000000010000000002683278
0.0005761875000000002,-2.30312926277326,-0.000000000010000000002565542
0.0005791875000000002,-2.386368965311642,-0.000000000010000000002443363
0.0005821875000000001,-2.4687608023196264,-0.000000000010000000002316338
0.0005851875000000001,-2.5502755003698425,-0.000000000010000000002185273
0.0005881875000000001,-2.6308840976782157,-0.000000000010000000002049766
0.0005911875,-2.71055795439395,-0.00000000001000000000191022
0.0005941875,-2.789268762775128,-0.00000000001000000000176623
0.0005971875,-2.8669885572463243,-0.000000000010000000001618202
0.0006001874999999999,-2.943689724334636,-0.000000000010000000001465731
0.0006031874999999999,-3.019345012480617,-0.000000000010000000001309423
0.0006061874999999998,-3.093927541720632,-0.000000000010000000001148874
