time,v(vin),v(vout),i(input),i(r1)
0,0,0,0,0
0.00000000012500000000000003,0.00025000000000000006,0.0000000003124996093754884,-0.0000002499996875003907,0.0000002499996875003907
0.0000000003750000000000001,0.0007500000000000002,0.000000001562497265629395,-0.0000007499984375027347,0.0000007499984375027347
0.0000000008750000000000002,0.0017500000000000005,0.000000007812473828201664,-0.0000017499921875261723,0.0000017499921875261723
0.0000000018750000000000002,0.0037500000000000007,0.00000003531225820454152,-0.000003749964687741796,0.0000037499646877417963
0.000000003875000000000001,0.007750000000000002,0.00000015031040197793974,-0.000007749849689598024,0.000007749849689598024
0.000000007875000000000003,0.015750000000000007,0.0000006202949898701031,-0.000015749379705010135,0.000015749379705010138
0.000000015875000000000005,0.031750000000000014,0.0000025201693712956577,-0.000031747479830628714,0.00003174747983062872
0.00000003187500000000001,0.06375000000000003,0.00001015915502534393,-0.00006373984084497468,0.00006373984084497468
0.00000006387500000000002,0.12775000000000006,0.00004079100300005988,-0.000127709208997,0.000127709208997
0.00000012787500000000003,0.2557500000000001,0.0001634456472719729,-0.0002555865543527281,0.0002555865543527281
0.00000025587500000000006,0.5117500000000001,0.0006541224037193388,-0.0005110958775962808,0.0005110958775962808
0.0000005,1,0.0024955576692302943,-0.0009975044423307696,0.0009975044423307696
0.000000548825,1,0.002982351536092797,-0.0009970176484639074,0.0009970176484639071
0.000000646475,1,0.0039554641475852415,-0.000996044535852415,0.0009960445358524147
0.000000841775,1,0.005898841418200252,-0.0009941011585817997,0.0009941011585817997
0.0000012323749999999998,1,0.009774231905998094,-0.000990225768094002,0.0009902257680940018
0.0000017323749999999999,1,0.014713013791753712,-0.0009852869862082463,0.0009852869862082463
0.000002232375,1,0.01962716334890207,-0.000980372836651098,0.000980372836651098
0.0000027323750000000002,1,0.02451680343194994,-0.0009754831965680501,0.00097548319656805
0.0000032323750000000005,1,0.029382056282663414,-0.0009706179437173366,0.0009706179437173366
0.000003732375000000001,1,0.03422304353312395,-0.0009657769564668761,0.000965776956466876
0.000004232375000000001,1,0.03903988620876921,-0.0009609601137912308,0.0009609601137912308
0.0000047323750000000014,1,0.04383270473141874,-0.0009561672952685812,0.0009561672952685812
0.000005232375000000002,1,0.048601618922284484,-0.0009513983810777155,0.0009513983810777156
0.000005732375000000002,1,0.05334674800496637,-0.0009466532519950337,0.0009466532519950336
0.000006232375000000002,1,0.05806821060843287,-0.0009419317893915671,0.0009419317893915671
0.000006732375000000003,1,0.06276612476998682,-0.0009372338752300132,0.0009372338752300132
0.000007232375000000003,1,0.06744060793821631,-0.0009325593920617838,0.0009325593920617838
0.000007732375000000002,1,0.07209177697593094,-0.0009279082230240691,0.000927908223024069
0.000008232375000000003,1,0.07671974816308341,-0.0009232802518369166,0.0009232802518369165
0.000008732375000000003,1,0.08132463719967652,-0.0009186753628003235,0.0009186753628003235
0.000009232375000000003,1,0.08590655920865568,-0.0009140934407913443,0.0009140934407913443
0.000009732375000000004,1,0.09046562873878705,-0.000909534371261213,0.000909534371261213
0.000010232375000000004,1,0.09500195976752127,-0.0009049980402324788,0.0009049980402324788
0.000010732375000000004,1,0.09951566570384286,-0.0009004843342961572,0.0009004843342961572
0.000011232375000000004,1,0.1040068593911055,-0.0008959931406088945,0.0008959931406088944
0.000011732375000000005,1,0.10847565310985312,-0.0008915243468901469,0.0008915243468901469
0.000012232375000000005,1,0.11292215858062692,-0.0008870778414193731,0.0008870778414193731
0.000012732375000000005,1,0.11734648696675844,-0.0008826535130332416,0.0008826535130332416
0.000013232375000000006,1,0.12174874887714865,-0.0008782512511228514,0.0008782512511228513
0.000013732375000000006,1,0.12612905436903318,-0.0008738709456309669,0.0008738709456309668
0.000014232375000000006,1,0.13048751295073377,-0.0008695124870492663,0.0008695124870492662
0.000014732375000000006,1,0.13482423358439594,-0.0008651757664156041,0.0008651757664156041
0.000015232375000000007,1,0.13913932468871315,-0.0008608606753112869,0.0008608606753112869
0.000015732375000000007,1,0.14343289414163726,-0.0008565671058583628,0.0008565671058583627
0.000016232375000000006,1,0.14770504928307546,-0.0008522949507169245,0.0008522949507169245
0.000016732375000000004,1,0.1519558969175738,-0.0008480441030824262,0.0008480441030824262
0.000017232375000000003,1,0.15618554331698736,-0.0008438144566830126,0.0008438144566830126
0.000017732375,1,0.16039409422313702,-0.000839605905776863,0.000839605905776863
0.000018232375,1,0.16458165485045306,-0.000835418345149547,0.000835418345149547
0.000018732375,1,0.16874832988860544,-0.0008312516701113946,0.0008312516701113945
0.000019232374999999997,1,0.1728942235051211,-0.0008271057764948789,0.0008271057764948789
0.000019732374999999996,1,0.17701943934798828,-0.0008229805606520118,0.0008229805606520118
0.000020232374999999994,1,0.18112408054824766,-0.0008188759194517523,0.0008188759194517523
0.000020732374999999993,1,0.1852082497225706,-0.0008147917502774294,0.0008147917502774293
