frequency,v(vin)_re,v(vin)_im,v(vout)_re,v(vout)_im,i(input)_re,i(input)_im,i(r1)_re,i(r1)_im
10,1,0,0.9999605231408795,-0.006282937266758387,-0.00000003947685912062196,-0.000006282937266758387,0.000000039476859120535225,0.000006282937266758387
11.220184543019634,1,0,0.9999503020868659,-0.0070494995036281755,-0.00000004969791313419805,-0.000007049499503628175,0.00000004969791313413907,0.000007049499503628175
12.589254117941671,1,0,0.9999374348393342,-0.007909566755942099,-0.00000006256516066577116,-0.000007909566755942099,0.0000000625651606658284,0.000007909566755942099
14.12537544622754,1,0,0.9999212364052922,-0.008874536100789225,-0.00000007876359470779075,-0.000008874536100789224,0.00000007876359470782024,0.000008874536100789224
15.848931924611131,1,0,0.999900844531264,-0.009957190212550916,-0.0000000991554687359078,-0.000009957190212550915,0.00000009915546873595638,0.000009957190212550915
17.78279410038922,1,0,0.99987517386546,-0.011171864346477713,-0.00000012482613454011839,-0.000011171864346477713,0.00000012482613454001256,0.000011171864346477713
19.952623149688787,1,0,0.9998428582860953,-0.012534632838121408,-0.0000001571417139046953,-0.000012534632838121408,0.0000001571417139046849,0.000012534632838121408
22.387211385683383,1,0,0.9998021783520763,-0.01406351714612529,-0.0000001978216479237016,-0.00001406351714612529,0.0000001978216479237016,0.00001406351714612529
25.118864315095784,1,0,0.9997509700560017,-0.01577871756783714,-0.0000002490299439983617,-0.00001577871756783714,0.00000024902994399833564,0.00001577871756783714
28.183829312644516,1,0,0.9996865100890888,-0.01770287081202124,-0.00000031348991091115046,-0.00001770287081202124,0.00000031348991091117994,0.00001770287081202124
31.622776601683764,1,0,0.9996053716169977,-0.019861335590585935,-0.00000039462838300223166,-0.000019861335590585935,0.0000003946283830023045,0.000019861335590585935
35.48133892335751,1,0,0.9995032430587075,-0.02228250824825742,-0.0000004967569412924182,-0.000022282508248257423,0.0000004967569412924755,0.000022282508248257423
39.810717055349684,1,0,0.9993747004910181,-0.024998170123155146,-0.0000006252995089820433,-0.000024998170123155147,0.0000006252995089819357,0.000024998170123155147
44.66835921509626,1,0,0.9992129219907594,-0.02804386773339373,-0.0000007870780092407003,-0.00002804386773339373,0.0000007870780092406049,0.00002804386773339373
50.11872336272717,1,0,0.9990093293863226,-0.031459325889354905,-0.0000009906706136774118,-0.00003145932588935491,0.0000009906706136774135,0.00003145932588935491
56.23413251903484,1,0,0.9987531394216773,-0.03528889226117962,-0.000001246860578322682,-0.00003528889226117962,0.0000012468605783226838,0.00003528889226117962
63.09573444801924,1,0,0.9984308021389247,-0.03958200953903544,-0.0000015691978610752732,-0.00003958200953903544,0.0000015691978610753443,0.00003958200953903544
70.7945784384137,1,0,0.9980252992677398,-0.044393707766736186,-0.0000019747007322602674,-0.00004439370776673619,0.0000019747007322602484,0.00004439370776673618
79.43282347242804,1,0,0.9975152695106658,-0.049785104235400356,-0.0000024847304893342494,-0.00004978510423540036,0.000002484730489334175,0.00004978510423540035
89.12509381337442,1,0,0.9968739208393846,-0.05582389085057633,-0.0000031260791606153426,-0.000055823890850576335,0.0000031260791606153582,0.000055823890850576335
99.99999999999984,1,0,0.9960676824071726,-0.0625847782705716,-0.000003932317592827365,-0.0000625847782705716,0.000003932317592827416,0.0000625847782705716
112.20184543019616,1,0,0.995054540807711,-0.07014985121628123,-0.000004945459192288917,-0.00007014985121628123,0.000004945459192288948,0.00007014985121628123
125.8925411794165,1,0,0.9937819979329331,-0.07860876870528412,-0.000006218002067066896,-0.00007860876870528412,0.0000062180020670669075,0.00007860876870528412
141.25375446227517,1,0,0.992184582000358,-0.08805871473700433,-0.000007815417999642053,-0.00008805871473700433,0.000007815417999642028,0.00008805871473700433
158.48931924611105,1,0,0.9901808418263092,-0.09860396699144963,-0.000009819158173690829,-0.00009860396699144963,0.000009819158173690834,0.00009860396699144963
177.82794100389194,1,0,0.9876697610169543,-0.1103549010677224,-0.000012330238983045659,-0.00011035490106772241,0.000012330238983045749,0.0001103549010677224
199.52623149688756,1,0,0.984526549537567,-0.12342618358038784,-0.000015473450462432986,-0.00012342618358038784,0.00001547345046243298,0.00012342618358038784
223.8721138568335,1,0,0.9805978142707005,-0.1379338280416572,-0.000019402185729299522,-0.0001379338280416572,0.000019402185729299526,0.0001379338280416572
251.18864315095746,1,0,0.9756961908471388,-0.1539906945679596,-0.000024303809152861184,-0.0001539906945679596,0.000024303809152861235,0.0001539906945679596
281.83829312644474,1,0,0.9695946540587105,-0.1716999151993969,-0.000030405345941289562,-0.0001716999151993969,0.000030405345941289518,0.0001716999151993969
316.22776601683717,1,0,0.9620209357541627,-0.19114563799586934,-0.000037979064245837325,-0.00019114563799586934,0.000037979064245837305,0.00019114563799586934
354.8133892335746,1,0,0.9526527912746885,-0.21238043824993208,-0.00004734720872531155,-0.00021238043824993208,0.00004734720872531151,0.00021238043824993208
398.10717055349625,1,0,0.9411152867478175,-0.23540880144419152,-0.00005888471325218251,-0.00023540880144419152,0.000058884713252182475,0.00023540880144419152
446.68359215096194,1,0,0.9269818278368047,-0.26016632890737657,-0.00007301817216319526,-0.0002601663289073766,0.00007301817216319528,0.0002601663289073766
501.1872336272709,1,0,0.9097812664019553,-0.2864948755318493,-0.0000902187335980447,-0.0002864948755318493,0.00009021873359804467,0.0002864948755318493
562.3413251903476,1,0,0.8890139687692378,-0.31411483903567267,-0.00011098603123076221,-0.0003141148390356727,0.00011098603123076222,0.00031411483903567264
630.9573444801915,1,0,0.8641799400944494,-0.34259738941329254,-0.0001358200599055506,-0.00034259738941329256,0.00013582005990555058,0.00034259738941329256
707.9457843841359,1,0,0.8348215494852835,-0.37134152743838644,-0.00016517845051471644,-0.00037134152743838644,0.00016517845051471647,0.00037134152743838644
794.3282347242791,1,0,0.8005815582254369,-0.3995631700429462,-0.00019941844177456315,-0.0003995631700429462,0.00019941844177456315,0.0003995631700429462
891.2509381337428,1,0,0.7612735761181861,-0.4263051939894874,-0.00023872642388181385,-0.00042630519398948743,0.00023872642388181388,0.00042630519398948743
999.9999999999968,1,0,0.7169568003248992,-0.45047724336838807,-0.00028304319967510086,-0.00045047724336838807,0.00028304319967510086,0.00045047724336838807
1122.0184543019598,1,0,0.6680009623407721,-0.47093064951495195,-0.00033199903765922787,-0.00047093064951495196,0.00033199903765922787,0.00047093064951495196
1258.925411794163,1,0,0.6151231395586028,-0.48656619563854875,-0.0003848768604413972,-0.0004865661956385488,0.00038487686044139726,0.0004865661956385487
1412.5375446227495,1,0,0.5593786009437457,-0.49646166191354946,-0.0004406213990562543,-0.0004964616619135495,0.0004406213990562543,0.0004964616619135495
1584.893192461108,1,0,0.5020954917241734,-0.49999560889515215,-0.0004979045082758266,-0.0004999956088951521,0.0004979045082758266,0.0004999956088951521
1778.2794100389165,1,0,0.44475732025042464,-0.4969388758530427,-0.0005552426797495754,-0.0004969388758530427,0.0005552426797495753,0.0004969388758530427
1995.2623149688723,1,0,0.38885327011772397,-0.48748990188154295,-0.0006111467298822761,-0.00048748990188154294,0.0006111467298822761,0.00048748990188154294
2238.7211385683313,1,0,0.33572730506709936,-0.4722440912277063,-0.0006642726949329007,-0.0004722440912277063,0.0006642726949329007,0.0004722440912277063
2511.8864315095707,1,0,0.28645745837351116,-0.45210572094997786,-0.0007135425416264888,-0.0004521057209499779,0.0007135425416264888,0.00045210572094997784
2818.382931264443,1,0,0.24178638493931595,-0.4281655392453868,-0.000758213615060684,-0.00042816553924538683,0.0007582136150606841,0.00042816553924538683
3162.2776601683668,1,0,0.20210832286437935,-0.401572594549637,-0.0007978916771356207,-0.000401572594549637,0.0007978916771356206,0.000401572594549637
3548.1338923357403,1,0,0.16750311261194725,-0.3734244500260482,-0.0008324968873880527,-0.0003734244500260482,0.0008324968873880527,0.0003734244500260482
3981.071705534956,1,0,0.137799743998985,-0.3446896786281818,-0.000862200256001015,-0.00034468967862818177,0.000862200256001015,0.00034468967862818177
4466.8359215096125,1,0,0.11265092547072243,-0.3161656123953271,-0.0008873490745292776,-0.0003161656123953271,0.0008873490745292776,0.0003161656123953271
